micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,pos_counts,neg_counts,ema_calls
2600,324,0.5184,0.2048148972541094,8.265722579956055,1.8579594349861146,2049.59,2050.41,4100.0,0,4096,2208,"{0: 2049, 1: 2047}",1.3617303371429443,"(2051, 2051, 2049, 2049)","(2049, 2049, 2051, 2051)",324
2650,331,0.5296,0.20243233497720212,8.266969261169434,1.85582622051239,2054.27,2045.73,4100.0,0,4096,2408,"{0: 2096, 1: 2000}",1.3610761165618896,"(2002, 2002, 2098, 2098)","(2098, 2098, 2002, 2002)",331
2700,337,0.5392,0.10120043658651412,8.25690507888794,1.7525814819335936,2050.44,2049.56,4100.0,0,4096,2608,"{0: 2101, 1: 1995}",1.311438798904419,"(1997, 2103, 1997, 2103)","(2103, 1997, 2103, 1997)",337
2750,343,0.5488,0.17168425193987788,8.261400470733642,1.8239643669128418,2049.46,2050.54,4100.0,0,4096,2808,"{0: 2094, 1: 2002}",1.3831520080566406,"(2003, 2097, 2097, 2097)","(2097, 2003, 2003, 2003)",343
2800,349,0.5584,0.09815605696290731,8.249130249023438,1.7479821300506593,2046.14,2053.86,4100.0,0,4096,3008,"{0: 2087, 1: 2009}",1.2001986503601074,"(2012, 2012, 2012, 2088)","(2088, 2088, 2088, 2012)",349
2850,356,0.5696,0.1856361024081707,8.26116777420044,1.8378696727752686,2052.24,2047.76,4100.0,0,4096,3208,"{0: 2081, 1: 2015}",1.302933692932129,"(2084, 2016, 2084, 2084)","(2016, 2084, 2016, 2016)",356
2900,362,0.5792,0.16920329492539168,8.257041683197022,1.8206116557121277,2049.69,2050.31,4100.0,0,4096,3408,"{0: 2065, 1: 2031}",1.2159662246704102,"(2066, 2034, 2034, 2034)","(2034, 2066, 2066, 2066)",362
2950,368,0.5888,0.14761565091088413,8.253363704681396,1.798288426399231,2050.12,2049.88,4100.0,0,4096,3608,"{0: 2069, 1: 2027}",1.2606301307678223,"(2030, 2030, 2030, 2070)","(2070, 2070, 2070, 2030)",368
3000,374,0.5984,0.2435847242176533,8.259594764709473,1.8955036973953248,2052.01,2047.99,4100.0,0,4096,3808,"{0: 2082, 1: 2014}",1.217940330505371,"(2017, 2017, 2017, 2083)","(2083, 2083, 2083, 2017)",374
3050,381,0.6096,0.1509693623520434,8.25220006942749,1.80140939950943,2057.41,2042.59,4100.0,0,4096,4008,"{0: 2112, 1: 1984}",1.2618505954742432,"(1985, 2115, 2115, 2115)","(2115, 1985, 1985, 1985)",381
3100,387,0.6192,0.12687859637662768,8.246077060699463,1.776094033718109,2045.64,2054.36,4100.0,0,4096,112,"{0: 2100, 1: 1996}",1.2961933612823486,"(1997, 2103, 2103, 2103)","(2103, 1997, 1997, 1997)",387
3150,393,0.6288,0.13605412644334136,8.240205135345459,1.7840951681137085,2045.02,2054.98,4100.0,0,4096,312,"{0: 2092, 1: 2004}",1.1778802871704102,"(2007, 2093, 2007, 2007)","(2093, 2007, 2093, 2093)",393
3200,399,0.6384,0.12994262978434562,8.235506839752198,1.7770440196990966,2047.18,2052.82,4100.0,0,4096,512,"{0: 2066, 1: 2030}",1.1914478540420532,"(2067, 2033, 2033, 2033)","(2033, 2067, 2067, 2067)",399
3250,406,0.6496,0.12756082706153393,8.238829860687256,1.7753268241882325,2048.93,2051.07,4100.0,0,4096,712,"{0: 2060, 1: 2036}",1.1969408988952637,"(2038, 2062, 2062, 2038)","(2062, 2038, 2038, 2062)",406
3300,412,0.6592,0.07360182972624899,8.228662433624267,1.7193343353271484,2050.88,2049.12,4100.0,0,4096,912,"{0: 2064, 1: 2032}",1.2955341339111328,"(2066, 2034, 2066, 2034)","(2034, 2066, 2034, 2066)",412
3350,418,0.6688,0.18471125705167651,8.237308540344237,1.8321729874610901,2050.35,2049.65,4100.0,0,4096,1112,"{0: 2066, 1: 2030}",1.1323641538619995,"(2034, 2034, 2034, 2034)","(2066, 2066, 2066, 2066)",418
3400,424,0.6784,0.14970504192868248,8.233194923400879,1.7963440537452697,2051.65,2048.35,4100.0,0,4096,1312,"{0: 2071, 1: 2025}",1.2639319896697998,"(2073, 2027, 2027, 2073)","(2027, 2073, 2073, 2027)",424
3450,431,0.6896,0.08736326498910785,8.232518825531006,1.7338670563697816,2053.45,2046.55,4100.0,0,4096,1512,"{0: 2094, 1: 2002}",1.2526799440383911,"(2004, 2096, 2096, 2004)","(2096, 2004, 2004, 2096)",431
3500,437,0.6992,0.15233033721102401,8.234357795715333,1.7992019081115722,2058.05,2041.95,4100.0,0,4096,1712,"{0: 2102, 1: 1994}",1.3991339206695557,"(2106, 2106, 2106, 2106)","(1994, 1994, 1994, 1994)",437
3550,443,0.7088,0.1543044718215242,8.231802883148193,1.8006650686264039,2052.99,2047.01,4100.0,0,4096,1912,"{0: 2106, 1: 1990}",1.2899770736694336,"(2109, 2109, 1991, 2109)","(1991, 1991, 2109, 1991)",443
3600,449,0.7184,0.18351791637018322,8.23540382385254,1.8305987095832825,2047.72,2052.28,4100.0,0,4096,2112,"{0: 2071, 1: 2025}",1.2063689231872559,"(2027, 2073, 2027, 2073)","(2073, 2027, 2073, 2027)",449
3650,456,0.7296,0.16811597898602484,8.236334266662597,1.8153828573226929,2049.02,2050.98,4100.0,0,4096,2312,"{0: 2061, 1: 2035}",1.1820847988128662,"(2038, 2038, 2062, 2038)","(2062, 2062, 2038, 2062)",456
3700,462,0.7392,0.16330847308039664,8.235022068023682,1.8103129029273988,2050.22,2049.78,4100.0,0,4096,2512,"{0: 2053, 1: 2043}",1.3744126558303833,"(2056, 2056, 2044, 2056)","(2044, 2044, 2056, 2044)",462
3750,468,0.7488,0.14580988187342883,8.228362064361573,1.7914823150634767,2050.0,2050.0,4100.0,0,4096,2712,"{0: 2043, 1: 2053}",1.2655621767044067,"(2045, 2055, 2055, 2045)","(2055, 2045, 2045, 2055)",468
3800,474,0.7584,0.13828148804605006,8.22767978668213,1.7838174748420714,2050.48,2049.52,4100.0,0,4096,2912,"{0: 2050, 1: 2046}",1.3058290481567383,"(2052, 2048, 2052, 2048)","(2048, 2052, 2048, 2052)",474
3850,481,0.7696,0.2161053010006435,8.233524055480958,1.8628101253509521,2050.54,2049.46,4100.0,0,4096,3112,"{0: 2059, 1: 2037}",1.1418792009353638,"(2060, 2040, 2040, 2040)","(2040, 2060, 2060, 2060)",481
3900,487,0.7792,0.16015654106624425,8.22933889389038,1.8060243511199952,2051.31,2048.69,4100.0,0,4096,3312,"{0: 2064, 1: 2032}",1.0921759605407715,"(2066, 2034, 2066, 2034)","(2034, 2066, 2034, 2066)",487
3950,493,0.7888,0.08913877772167325,8.223272762298585,1.7337933492660522,2049.37,2050.63,4100.0,0,4096,3512,"{0: 2053, 1: 2043}",1.002180814743042,"(2055, 2045, 2055, 2045)","(2045, 2055, 2045, 2055)",493
4000,499,0.7984,0.1593440323509276,8.228299961090087,1.8050040411949158,2050.39,2049.61,4100.0,0,4096,3712,"{0: 2039, 1: 2057}",1.0625,"(2041, 2059, 2059, 2041)","(2059, 2041, 2041, 2059)",499
4050,506,0.8096,0.1711741792783141,8.230267944335937,1.8172277998924256,2050.42,2049.58,4100.0,0,4096,3912,"{0: 2025, 1: 2071}",1.1324665546417236,"(2074, 2074, 2074, 2026)","(2026, 2026, 2026, 2074)",506
4100,512,0.8192,0.18713857915252446,8.238919410705567,1.8349224877357484,2049.44,2050.56,4100.0,0,4096,16,"{0: 2028, 1: 2068}",1.0292397737503052,"(2071, 2071, 2029, 2071)","(2029, 2029, 2071, 2029)",512
4150,518,0.8288,0.12038458554074168,8.228127212524415,1.7660100603103637,2051.35,2048.65,4100.0,0,4096,216,"{0: 2033, 1: 2063}",1.192013144493103,"(2066, 2034, 2066, 2066)","(2034, 2066, 2034, 2034)",518
4200,524,0.8384,0.15181097343564035,8.23579137802124,1.7989692878723145,2049.56,2050.44,4100.0,0,4096,416,"{0: 2046, 1: 2050}",1.1175483465194702,"(2053, 2053, 2053, 2047)","(2047, 2047, 2047, 2053)",524
4250,531,0.8496,0.1337625264376402,8.23154945373535,1.7800724363327027,2050.32,2049.68,4100.0,0,4096,616,"{0: 2056, 1: 2040}",1.3753280639648438,"(2060, 2060, 2060, 2060)","(2040, 2040, 2040, 2040)",531
4300,537,0.8592,0.08202872668392956,8.223634510040283,1.7267556595802307,2049.61,2050.39,4100.0,0,4096,816,"{0: 2065, 1: 2031}",1.0513081550598145,"(2034, 2066, 2034, 2034)","(2066, 2034, 2066, 2066)",537
4350,543,0.8688,0.12454396082088351,8.223300247192382,1.7692040300369263,2051.15,2048.85,4100.0,0,4096,1016,"{0: 2068, 1: 2028}",0.9275630712509155,"(2032, 2032, 2032, 2032)","(2068, 2068, 2068, 2068)",543
4400,549,0.8784,0.17876956223044543,8.224047813415527,1.8235791373252868,2049.71,2050.29,4100.0,0,4096,1216,"{0: 2059, 1: 2037}",1.0740556716918945,"(2060, 2040, 2040, 2040)","(2040, 2060, 2060, 2060)",549
4450,556,0.8896,0.1465296657383442,8.230016708374023,1.7925330185890198,2050.48,2049.52,4100.0,0,4096,1416,"{0: 2053, 1: 2043}",1.1680673360824585,"(2044, 2056, 2056, 2056)","(2056, 2044, 2044, 2044)",556
4500,562,0.8992,0.17461178421974183,8.234204807281493,1.8214527654647827,2049.92,2050.08,4100.0,0,4096,1616,"{0: 2026, 1: 2070}",1.046860933303833,"(2073, 2027, 2073, 2073)","(2027, 2073, 2027, 2027)",562
4550,568,0.9088,0.12306036174297333,8.228152389526366,1.7686908721923829,2050.93,2049.07,4100.0,0,4096,1816,"{0: 2017, 1: 2079}",0.9146917462348938,"(2083, 2083, 2083, 2083)","(2017, 2017, 2017, 2017)",568
4600,574,0.9184,0.13606417698785664,8.229561901092529,1.7819765782356263,2050.41,2049.59,4100.0,0,4096,2016,"{0: 2018, 1: 2078}",1.1197214126586914,"(2021, 2021, 2021, 2079)","(2079, 2079, 2079, 2021)",574
4650,581,0.9296,0.13867986049037426,8.228353385925294,1.7843505668640136,2049.63,2050.37,4100.0,0,4096,2216,"{0: 2036, 1: 2060}",1.1724655628204346,"(2038, 2038, 2062, 2062)","(2062, 2062, 2038, 2038)",581
4700,587,0.9392,0.05447713922709227,8.213418197631835,1.697160804271698,2049.79,2050.21,4100.0,0,4096,2416,"{0: 2053, 1: 2043}",1.1222288608551025,"(2054, 2046, 2046, 2046)","(2046, 2054, 2054, 2054)",587
4750,593,0.9488,0.12175710899289698,8.222490520477296,1.7662552404403686,2050.06,2049.94,4100.0,0,4096,2616,"{0: 2041, 1: 2055}",1.255915880203247,"(2056, 2044, 2044, 2044)","(2044, 2056, 2056, 2056)",593
4800,599,0.9584,0.2183627268113196,8.226934814453125,1.8637497091293336,2050.26,2049.74,4100.0,0,4096,2816,"{0: 2038, 1: 2058}",0.9702632427215576,"(2060, 2060, 2040, 2040)","(2040, 2040, 2060, 2060)",599
4850,606,0.9696,0.1490652966732159,8.225068435668945,1.794079008102417,2052.67,2047.33,4100.0,0,4096,3016,"{0: 2029, 1: 2067}",0.846619188785553,"(2071, 2071, 2071, 2071)","(2029, 2029, 2029, 2029)",606
4900,612,0.9792,0.16304770360700785,8.218530597686767,1.8067538523674012,2047.74,2052.26,4100.0,0,4096,3216,"{0: 2035, 1: 2061}",1.2931042909622192,"(2039, 2039, 2039, 2039)","(2061, 2061, 2061, 2061)",612
4950,618,0.9888,0.09205402867868542,8.213285541534423,1.7347111582756043,2050.53,2049.47,4100.0,0,4096,3416,"{0: 2034, 1: 2062}",1.1918666362762451,"(2063, 2037, 2037, 2037)","(2037, 2063, 2063, 2063)",618
5000,624,0.9984,0.0854485272942111,8.203046112060546,1.726057779788971,2051.78,2048.22,4100.0,0,4096,3616,"{0: 2034, 1: 2062}",1.1131019592285156,"(2065, 2065, 2035, 2065)","(2035, 2035, 2065, 2035)",624
5050,631,1.0096,0.1516546041611582,8.210649681091308,1.7937845730781554,2050.69,2049.31,4100.0,0,4096,3816,"{0: 2037, 1: 2059}",1.100111961364746,"(2038, 2062, 2062, 2062)","(2062, 2038, 2038, 2038)",631
5100,637,1.0192,0.16482408632989973,8.219138126373291,1.8086517357826233,2053.01,2046.99,4100.0,0,4096,4016,"{0: 2019, 1: 2077}",1.0966124534606934,"(2080, 2080, 2080, 2020)","(2020, 2020, 2020, 2080)",637
5150,643,1.0288,0.07576472202781588,8.199190006256103,1.7156027483940124,2048.74,2051.26,4100.0,0,4096,120,"{0: 2028, 1: 2068}",1.3267536163330078,"(2069, 2031, 2031, 2031)","(2031, 2069, 2069, 2069)",643
5200,649,1.0384,0.13499779873993248,8.207311267852782,1.7764600753784179,2049.49,2050.51,4100.0,0,4096,320,"{0: 2030, 1: 2066}",1.3185842037200928,"(2033, 2067, 2033, 2033)","(2067, 2033, 2067, 2067)",649
5250,656,1.0496,0.09099640588276088,8.202241115570068,1.731444652080536,2048.91,2051.09,4100.0,0,4096,520,"{0: 2036, 1: 2060}",1.228375792503357,"(2062, 2038, 2038, 2062)","(2038, 2062, 2062, 2038)",656
5300,662,1.0592,0.10683522821869701,8.20927864074707,1.748690972328186,2049.32,2050.68,4100.0,0,4096,720,"{0: 2038, 1: 2058}",1.262424111366272,"(2041, 2041, 2059, 2041)","(2059, 2059, 2041, 2059)",662
5350,668,1.0688,0.10236361213959753,8.203878021240234,1.743139238357544,2050.23,2049.77,4100.0,0,4096,920,"{0: 2038, 1: 2058}",1.3259329795837402,"(2041, 2059, 2041, 2041)","(2059, 2041, 2059, 2059)",668
5400,674,1.0784,0.11533208410721273,8.202975730895997,1.7559272503852845,2051.21,2048.79,4100.0,0,4096,1120,"{0: 2030, 1: 2066}",1.0102589130401611,"(2068, 2068, 2032, 2032)","(2032, 2032, 2068, 2068)",674
5450,681,1.0896,0.15055789481848478,8.21177848815918,1.792913613319397,2050.78,2049.22,4100.0,0,4096,1320,"{0: 2033, 1: 2063}",1.2144124507904053,"(2065, 2035, 2035, 2065)","(2035, 2065, 2065, 2035)",681
5500,687,1.0992,0.19131040023639798,8.215528221130372,1.834416060447693,2050.0,2050.0,4100.0,0,4096,1520,"{0: 2040, 1: 2056}",1.2938659191131592,"(2043, 2057, 2043, 2043)","(2057, 2043, 2057, 2057)",687
5550,693,1.1088,0.0702243234217167,8.201034412384033,1.7104312133789064,2049.68,2050.32,4100.0,0,4096,1720,"{0: 2036, 1: 2060}",1.2185391187667847,"(2062, 2038, 2062, 2038)","(2038, 2062, 2038, 2062)",693
5600,699,1.1184,0.22045041155535727,8.223669719696044,1.8651843881607055,2049.99,2050.01,4100.0,0,4096,1920,"{0: 2055, 1: 2041}",1.392610788345337,"(2059, 2059, 2059, 2059)","(2041, 2041, 2041, 2041)",699
5650,706,1.1296,0.1552583664795384,8.214855556488038,1.7982294845581055,2051.79,2048.21,4100.0,0,4096,2120,"{0: 2069, 1: 2027}",1.274496078491211,"(2028, 2072, 2072, 2072)","(2072, 2028, 2028, 2028)",706
5700,712,1.1392,0.03263281011721119,8.201966953277587,1.6730262374877929,2052.84,2047.16,4100.0,0,4096,2320,"{0: 2074, 1: 2022}",1.1187200546264648,"(2025, 2025, 2075, 2025)","(2075, 2075, 2025, 2075)",712
