micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,pos_counts,neg_counts,ema_calls
2700,337,0.5392,0.09436183765996248,0.980066831111908,0.29037520945072176,2.54,1.46,4.0,0,0,0,{},0.037968602031469345,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
2750,343,0.5488,0.144675179196056,1.0235445845127105,0.34938409984111785,2.56,1.44,4.0,0,0,0,{},0.05690698325634003,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
2800,349,0.5584,0.09114451266359538,0.9509831213951111,0.2813411438465118,2.51,1.49,4.0,0,0,0,{},0.0798424705862999,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
2850,356,0.5696,0.1530234095454216,1.03178493142128,0.3593803980946541,2.44,1.56,4.0,0,0,0,{},0.04965191334486008,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
2900,362,0.5792,0.1817717364244163,1.0015494644641876,0.3820816293358803,2.46,1.54,4.0,0,0,0,{},0.09308250993490219,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
2950,368,0.5888,0.13193220583721996,0.9463339567184448,0.32119900435209275,2.49,1.51,4.0,0,0,0,{},0.051194652915000916,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
3000,374,0.5984,0.21916939863935114,1.0706438791751862,0.43329818099737166,2.53,1.47,4.0,0,0,0,{},0.03793639317154884,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
3050,381,0.6096,0.11788445163518191,0.9504532873630523,0.30797511249780657,2.42,1.58,4.0,0,0,0,{},0.028577525168657303,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
3100,387,0.6192,0.13217799582518638,0.9833289170265198,0.3288437822461128,2.54,1.46,4.0,0,0,0,{},0.04411754384636879,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
3150,393,0.6288,0.11920990836806596,0.9822617042064666,0.3156622529029846,2.55,1.45,4.0,0,0,0,{},0.0445827916264534,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
3200,399,0.6384,0.13525416771881282,1.0296748244762421,0.34118913680315016,2.67,1.33,4.0,0,0,0,{},0.07468751072883606,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
3250,406,0.6496,0.1207041747123003,0.9632336950302124,0.31335091799497605,2.49,1.51,4.0,0,0,0,{},0.13591612875461578,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3300,412,0.6592,0.06991065397392958,0.9366569662094116,0.2572420510649681,2.46,1.54,4.0,0,0,0,{},0.0445806160569191,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3350,418,0.6688,0.17315801497315988,1.0476246285438537,0.38268294334411623,2.55,1.45,4.0,0,0,0,{},0.03239138424396515,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
3400,424,0.6784,0.1125647214287892,1.0205631971359252,0.3166773644089699,2.59,1.41,4.0,0,0,0,{},0.02996087074279785,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3450,431,0.6896,0.07427560247946531,0.9219866251945495,0.25867293298244476,2.45,1.55,4.0,0,0,0,{},0.03158259391784668,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3500,437,0.6992,0.14154413094744087,1.0698190104961396,0.3555079326033592,2.75,1.25,4.0,0,0,0,{},0.027362439781427383,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
3550,443,0.7088,0.12611933753360063,0.97593297123909,0.3213059389591217,2.48,1.52,4.0,0,0,0,{},0.022918663918972015,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
3600,449,0.7184,0.19753871590830385,1.0568839156627654,0.40891550600528714,2.58,1.42,4.0,0,0,0,{},0.06417517364025116,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3650,456,0.7296,0.16175080638378858,1.0330325496196746,0.36835732132196425,2.51,1.49,4.0,0,0,0,{},0.026401638984680176,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
3700,462,0.7392,0.161246447712183,1.0229077887535096,0.36582800835371015,2.62,1.38,4.0,0,0,0,{},0.028873514384031296,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
3750,468,0.7488,0.1442519344948232,0.9310937201976777,0.3304706808924675,2.34,1.66,4.0,0,0,0,{},0.02264002338051796,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3800,474,0.7584,0.11734334740787744,0.9870157825946808,0.3147465044260025,2.57,1.43,4.0,0,0,0,{},0.029491407796740532,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3850,481,0.7696,0.23820458384230733,1.152657948732376,0.46873617976903914,2.67,1.33,4.0,0,0,0,{},0.051811426877975464,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
3900,487,0.7792,0.17664739603642374,1.0209796607494355,0.3808433333039284,2.49,1.51,4.0,0,0,0,{},0.062291957437992096,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
3950,493,0.7888,0.09500022914260625,0.9489598441123962,0.284792200922966,2.43,1.57,4.0,0,0,0,{},0.06748154759407043,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
4000,499,0.7984,0.17576630084775388,1.0135565602779388,0.3784776172041893,2.5,1.5,4.0,0,0,0,{},0.06870229542255402,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
4050,506,0.8096,0.1724540976062417,0.9890473186969757,0.37026356279850003,2.39,1.61,4.0,0,0,0,{},0.03126220405101776,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
4100,512,0.8192,0.17851309994235634,1.0121390902996064,0.3809409239888191,2.45,1.55,4.0,0,0,0,{},0.09217844903469086,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
4150,518,0.8288,0.11590153192169965,0.998380264043808,0.31557758927345275,2.57,1.43,4.0,0,0,0,{},0.02794269099831581,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
4200,524,0.8384,0.15900146753527225,1.0039960062503814,0.35980066865682603,2.52,1.48,4.0,0,0,0,{},0.08566278219223022,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
4250,531,0.8496,0.1418170168250799,0.9829947769641876,0.33841597855091093,2.5,1.5,4.0,0,0,0,{},0.030943626537919044,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
4300,537,0.8592,0.06555779710412026,0.9261933016777039,0.25079646080732343,2.49,1.51,4.0,0,0,0,{},0.029209008440375328,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
4350,543,0.8688,0.1157856414327398,1.0472299480438232,0.32523163467645644,2.75,1.25,4.0,0,0,0,{},0.04547379910945892,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
4400,549,0.8784,0.15984772608615458,0.9963442122936249,0.35911657005548475,2.45,1.55,4.0,0,0,0,{},0.0759996548295021,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
4450,556,0.8896,0.17692277701571585,1.074818674325943,0.39188651472330094,2.62,1.38,4.0,0,0,0,{},0.05286474898457527,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
4500,562,0.8992,0.18577751221135258,1.0480747592449189,0.3953924709558487,2.59,1.41,4.0,0,0,0,{},0.02069607377052307,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
4550,568,0.9088,0.13619362970814108,0.9863742792606354,0.33346849113702776,2.49,1.51,4.0,0,0,0,{},0.04169686138629913,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
4600,574,0.9184,0.11022834955714643,1.022848140001297,0.31479798078536986,2.68,1.32,4.0,0,0,0,{},0.03814039006829262,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
4650,581,0.9296,0.14631357760634273,1.0290737330913544,0.35212832808494565,2.58,1.42,4.0,0,0,0,{},0.04594416543841362,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
4700,587,0.9392,0.046295366510748864,0.9264347124099731,0.23158231347799302,2.55,1.45,4.0,0,0,0,{},0.034134868532419205,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
4750,593,0.9488,0.11369958146475255,0.9672334432601929,0.30714627116918564,2.56,1.44,4.0,0,0,0,{},0.032763250172138214,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
4800,599,0.9584,0.23690671752206982,1.049720778465271,0.4468508720397949,2.52,1.48,4.0,0,0,0,{},0.1819361448287964,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
4850,606,0.9696,0.1344666141550988,1.0699363017082215,0.34845387607812883,2.69,1.31,4.0,0,0,0,{},0.061231307685375214,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
4900,612,0.9792,0.14172037268057466,0.9853374803066254,0.3387878727912903,2.46,1.54,4.0,0,0,0,{},0.04766955226659775,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
4950,618,0.9888,0.08993991858675145,0.9376828634738922,0.2774764958024025,2.43,1.57,4.0,0,0,0,{},0.044686444103717804,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
5000,624,0.9984,0.09458113952539861,0.9338197243213654,0.2813450899720192,2.5,1.5,4.0,0,0,0,{},0.0566859170794487,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
5050,631,1.0096,0.16285330893471836,1.0300688588619231,0.3688670900464058,2.52,1.48,4.0,0,0,0,{},0.02442236617207527,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
